5192,1,1000,1230
5193,1,1300,1400
5194,1,1700,1800
5195,2,1000,1100
5196,2,1400,1500
5197,3,900,1130
5198,3,1130,1400
5199,3,2100,2200
5201,5,1700,1800
5203,6,1130,1400
5206,7,1700,1800
5207,7,1000,1200
5208,10,900,1130
5209,14,900,1200
5210,4,900,2300
5211,3,1530,1730
5212,2,1600,1700
5213,5,1000,1100
5214,7,1500,1600
5215,7,1830,1930
5216,5,1530,1630
5217,6,900,1130
5218,9,930,1300
5219,10,2100,2300
5220,11,930,1030
5221,11,1100,1200
5222,11,1600,2300
5223,14,1300,1530
5224,15,1300,1400
5225,16,1000,1100
5226,17,1130,1400
5227,17,1500,1600
5228,18,900,1430
5229,19,900,1400
5230,20,1130,1400
5231,20,1400,2300
5232,21,900,2300
5233,22,900,2300
5234,24,900,1130
5235,24,1130,1400
5236,26,900,1400
5237,27,1130,1400
5238,27,2230,2300
5239,31,900,1130
5240,31,1130,1400
5241,7,1400,1500
5242,8,1030,1230
5243,10,1300,1400
5245,6,1500,1730
5246,9,1400,1500
5247,12,1600,1730
5248,13,1000,1300
5249,12,1100,1330
5250,14,1700,1900
5251,14,1930,2130
5252,15,1000,1100
5253,15,1600,1700
5254,15,1730,1830
5255,16,1830,1930
5256,26,1700,1800
5257,13,1900,2030
5258,13,1330,1800
