305,6,1500,1600
306,7,900,2300
319,1,1000,1300
320,1,2100,2200
321,2,1430,1700
322,2,1800,2200
323,3,2030,2230
324,8,1330,1630
325,11,1800,2000
327,3,1000,1100
328,4,1400,1500
330,8,1030,1130
331,9,1030,1230
332,15,900,2300
333,16,900,2300
334,17,900,2300
336,20,1600,1700
338,2,1000,1100
339,3,1100,1200
342,28,900,1900
343,1,1400,1500
344,4,900,1400
345,5,1800,2130
347,11,900,1300
348,14,1800,2000
349,19,1800,2130
350,8,1130,1330
351,8,1630,2000
352,8,2000,2200
353,9,1230,1400
354,12,1000,1230
355,12,1300,1500
356,22,1230,1500
357,6,1100,1200
358,6,1900,2130
359,14,2030,2130
360,14,2230,2300
361,21,1800,2200
362,9,1900,2000
363,10,1000,1330
364,10,1500,1600
365,10,1800,1900
366,10,1900,2000
367,13,1100,1200
368,13,1400,1500
369,13,2100,2200
370,9,1530,1730
371,9,2030,2130
372,12,1900,2200
373,14,1000,1200
335,18,900,1800
374,18,1900,2200
375,19,1030,1230
376,21,1000,1300
377,22,1030,1130
378,22,1700,2300
379,20,1900,2000
380,29,1000,1300
381,23,1000,1200
382,20,1000,1100
383,20,1100,1200
384,20,1230,1530
385,26,1330,1600
386,26,2100,2200
388,19,2130,2300
389,20,1800,1900
391,21,1300,1400
392,21,1430,1730
393,23,1400,1500
394,27,1700,2130
395,27,2200,2300
397,29,1530,1730
398,29,2100,2200
402,23,1300,1400
403,25,1000,1100
404,25,1200,1900
405,29,1800,2000
406,30,1300,1400
411,26,1900,2000
412,28,2000,2100
413,30,1000,1200
414,30,1700,2200
420,30,900,1000
421,30,1430,1700

