11772,1,930,1200
11773,1,1230,1700
11774,1,1900,2300
11775,2,1000,1400
11776,2,1500,1700
11777,2,1800,2300
11778,3,900,1030
11779,3,1100,1330
11780,3,1400,1700
11781,3,2100,2300
11782,4,1000,1500
11783,5,900,1530
11785,6,1800,1930
11786,6,900,1000
11787,6,1100,1700
11788,7,1400,1830
11789,8,1000,1400
11790,8,1500,1630
11791,8,1700,2300
11792,9,1000,1130
11793,9,1500,1600
11794,9,1800,2300
11795,10,900,1700
11796,11,1800,1900
11797,11,2130,2300
11798,13,900,1000
11799,13,1400,2030
11800,14,1730,2300
11801,15,1230,1800
11802,15,1900,2300
11803,16,900,2300
11804,17,1400,1700
11808,21,1500,1700
11812,23,1000,1130
11813,24,1400,1700
11814,24,1700,2300
11815,26,1530,1800
11816,27,1800,1930
11817,28,1400,1700
11818,29,900,1700
11819,29,1900,2300
11820,30,1000,1130
11821,30,1500,1700
11822,31,1400,1700
11823,3,1030,1100
11824,3,1700,1930
11825,7,1900,2030
11826,8,900,1000
11827,9,900,1000
11828,15,930,1030
11829,15,1130,1230
11830,19,930,1200
11831,20,900,1030
11832,19,1600,1700
11833,19,1800,1930
11807,20,1500,1700
11834,20,1800,1930
11835,21,2100,2300
11836,21,1400,1500
11837,25,1000,1600
11838,7,900,1400
11839,7,2030,2230
11840,21,900,1400
11841,21,1700,1830
11842,22,900,1400
11843,22,1600,1700
11844,23,1400,1900
11845,23,1930,2300
11846,24,900,1400
11847,25,1800,1900
11848,25,2130,2300
11849,26,900,1030
11850,26,1800,2300
11851,27,1000,1700
11852,27,1930,2100
11853,28,2100,2230
11854,30,1130,1500
11855,30,1700,1800
11856,30,2100,2230
11857,31,1300,1400
