8357,5,1000,1100
8358,5,1200,1630
8359,5,1700,2300
8360,6,1000,1500
8361,6,1600,1700
8362,6,1700,1800
8363,7,900,1200
8364,7,1330,1700
8365,8,1000,1100
8366,8,1300,1800
8367,9,1530,1800
8368,10,900,1300
8369,10,1400,1500
8370,11,1000,1200
8371,11,1300,1600
8372,11,2100,2200
8373,12,900,1230
8374,13,1000,1300
8375,12,1600,1800
8376,14,900,1400
8377,14,2000,2100
8378,15,1300,1700
8379,26,900,1300
8380,26,1300,1600
8381,26,1600,1700
8382,26,1700,1830
8383,26,2100,2230
8384,27,1400,1500
8385,27,1530,1630
8386,27,1700,2000
8387,28,1000,1100
8388,28,1130,1230
8389,28,1300,1900
8390,29,1000,1100
8391,29,1300,1600
8392,29,1700,1800
8393,29,1800,1900
8394,30,1830,1930
8395,30,2030,2130
8396,31,1230,1530
8397,31,1530,1630
8398,31,1630,1800
8399,31,1900,2300
8441,30,1600,1700
8442,30,1730,1830
