3844,5,1600,1700
3845,8,2000,2100
3846,11,900,1130
3864,3,1000,1200
3868,10,2230,2300
3870,7,930,1130
3871,9,1030,1330
3872,2,1030,1330
3873,2,1830,2130
3875,17,1930,2130
3877,16,1830,2130
3878,21,930,1130
3879,28,930,1130
3880,30,1030,1330
3881,30,1830,2030
3882,23,1830,2030
3883,14,930,1130
3889,4,930,1130
3901,2,1700,1800
3902,3,900,1000
3903,4,1630,1730
3904,7,1900,2200
3905,8,1100,1200
3906,8,1230,1330
3910,1,1100,1200
3914,2,1330,1630
3865,3,1500,1800
3918,3,1300,1500
3919,3,1800,1900
3920,3,2000,2100
3843,4,1130,1530
3921,4,1530,1630
3922,4,1730,1830
3923,4,2000,2300
3924,5,1930,2200
3925,6,2100,2230
3926,7,1230,1500
3927,7,1700,1900
3928,9,1500,1600
3929,9,1600,1800
3874,9,1830,2030
3930,9,2030,2130
3931,10,1330,1500
3932,12,1200,1900
3933,12,1930,2200
3934,1,1230,2300
3935,8,2100,2300
3936,9,2130,2300
3937,10,1530,1630
3939,13,1000,1100
3940,13,1500,1800
3941,13,2000,2100
3942,13,2100,2200
3943,14,1230,1500
3944,14,1500,1600
3945,16,1500,1800
3946,17,1300,1500
3947,18,1200,1530
3949,18,1900,2300
3950,19,1030,1130
3951,19,1930,2300
3952,31,2030,2130
3953,26,1930,2300
3954,3,1200,1300
3955,6,1230,1430
3956,6,1930,2030
3957,7,1500,1700
3958,9,900,1000
3959,10,930,1230
3961,11,1130,1230
3962,12,1000,1200
3964,15,900,2300
3965,16,900,1000
3876,16,1030,1500
3967,24,1000,1230
3968,24,1230,1500
3969,25,1700,2300
3971,31,1300,1500
3972,5,1100,1200
3974,20,1830,2300
3975,5,1700,1930
3976,8,1530,1730
3977,11,1530,1630
3978,11,1700,1800
3979,11,2100,2200
3980,13,1330,1430
3981,8,1730,1830
3982,13,1800,1930
3983,16,2130,2300
3984,19,1300,1400
3985,19,1430,1730
3966,21,1230,1530
3986,21,1900,2200
3987,27,1800,2300
3988,10,1700,1800
3989,10,1830,1930
3960,10,1930,2030
3990,10,2100,2230
3991,14,1600,1730
3993,17,1530,1700
3973,18,1700,1900
3948,18,1530,1700
3994,20,1000,1100
3995,21,1530,1730
3996,22,1100,1200
3997,22,1230,1330
3998,22,1330,1430
3999,22,2030,2130
4000,23,1100,1200
3970,28,1230,1530
4001,29,1700,2300
4002,11,1430,1530
4003,11,1800,2100
4004,13,1130,1300
4005,14,1900,2000
4006,14,2130,2230
4007,17,2130,2230
4008,17,930,1030
4009,20,1130,1230
4010,29,1130,1700
4011,18,930,1130
4012,19,1130,1300
4013,20,1300,1400
4014,20,1400,1500
4015,20,1530,1630
4016,20,1630,1730
4017,21,1730,1900
4018,24,1530,1630
4019,24,1700,1800
4020,27,900,1300
4021,17,1030,1230
4022,19,1730,1900
4023,20,1730,1830
4024,22,1600,2000
4025,24,1900,2000
4026,24,2000,2200
4027,26,1000,1230
4028,22,900,1100
4029,22,2130,2230
4030,23,930,1030
4031,23,1330,1630
4032,23,1630,1730
4033,23,2030,2230
4034,25,900,1000
4035,25,1400,1500
4036,25,1500,1600
4037,26,1400,1500
4038,26,1700,1800
4039,27,1400,1500
4040,28,1900,2200
4041,30,1630,1830
4042,31,1600,1700
4043,31,1700,1800
4044,31,1900,2000
4045,31,2230,2300
4049,25,1000,1330
4050,27,1530,1630
4051,28,1700,1900
4052,30,1330,1630
4053,30,2100,2230
4054,31,1800,1900
4080,28,2200,2300
4103,30,930,1030
4104,31,1100,1230
