5812,1,1000,1400
5813,2,900,1400
5814,2,1530,1630
5817,3,1430,1600
5818,4,1000,1400
5819,4,1400,1800
5820,5,900,1700
5821,6,1000,1300
5822,7,1000,1300
5823,8,1000,1400
5824,9,1500,1600
5825,11,1000,1400
5826,13,1500,1700
5827,2,1700,1830
5828,3,1000,1300
5829,3,1300,1400
5830,3,1630,1830
5831,4,2200,2300
5832,7,1400,1500
5833,7,1500,1830
5834,8,1500,1600
5835,9,1630,1730
5836,9,2030,2300
5838,11,1530,1630
5839,12,900,1200
5842,15,900,1400
5843,5,1700,1930
5844,6,1330,1530
5845,6,1600,1700
5846,9,900,1400
5837,10,900,1130
5847,10,1230,1700
5848,10,1700,1800
5849,10,1930,2200
5850,11,1700,1830
5851,13,1000,1100
5853,16,900,1400
5855,17,930,1500
5856,17,2100,2200
5857,18,1000,1400
5858,20,1300,1400
5859,22,1000,1430
5860,22,1430,1730
5861,24,900,1130
5862,25,1000,1430
5863,28,900,1400
5864,29,1000,1430
5865,11,1900,2000
5866,12,1400,1500
5867,14,1530,1700
5868,17,1530,1630
5869,17,1630,1730
5870,18,1500,1600
5871,20,1000,1200
5873,21,1000,1330
5874,21,1330,1700
5875,22,1900,2200
5876,28,1500,1730
5841,14,1000,1230
5877,14,1800,2030
5878,15,1430,1630
5854,16,1430,1730
5879,18,1630,1730
5880,24,1400,1700
5881,26,900,1200
5882,19,1000,1200
5883,23,1500,1630
5884,26,1300,1500
5885,28,1400,1500
